"model_name","source_file","status_field_refs","tenant_field_refs","confidence"
"access_grants","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\accessGrantModel.js","3","3","Confirmed from code"
"admin_audit_logs","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\adminAuditLogModel.js","0","4","Confirmed from code"
"ai_action_metrics","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\aiActionMetricModel.js","1","3","Confirmed from code"
"api_master_sync","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\apiMasterSyncModel.js","1","0","Confirmed from code"
"api_public_manufacturers","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\apiPublicManufacturerModel.js","0","0","Confirmed from code"
"api-master","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\apiMasterModel.js","1","0","Confirmed from code"
"approval_requests","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\approvalRequestModel.js","2","3","Confirmed from code"
"AskHawkEvalRun","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\askHawkEvalRunModel.js","1","3","Confirmed from code"
"assessment-capas","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\assessmentCapaModel.js","4","5","Confirmed from code"
"assessment-evidence","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\assessmentEvidenceModel.js","1","3","Confirmed from code"
"assessment-findings","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\assessmentFindingModel.js","2","4","Confirmed from code"
"assessments","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\assessmentModel.js","3","7","Confirmed from code"
"assessment-types","C:\Users\debab\Code - Hawkeye\hawkeye-clean\_wt_backend_dev_artifacts_20260223\src\models\assessmentTypeModel.js","0","2","Confirmed from code"
