qnum,section,confidence,bestScore,fileName,pageNumber,quote
"1","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","HIGH","8","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"2","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","MED","5","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"3","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","MED","6","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"4","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"5","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"6","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"7","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"8","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"9","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"10","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"11","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","MED","6","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"12","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"13","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"14","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"15","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"16","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"17","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive act"
"18","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"19","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"20","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"21","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","2","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"22","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"23","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"24","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"25","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"26","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"27","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
"28","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA correctiv"
"29","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","LOW","1","coverage-test.pdf","2","Facility ethics labor environment health safety management system ISO 14001 OHSAS 18001 supplier approval CAPA corrective preventive action."
"30","Minor Findings: Findings that may pose minor impacts to workers, the community, the environment. Findings that may pose minor regulatory non-compliances.","NONE","0","","",""
